model,auc,brier,ece,mce,auc_str,brier_str,ece_str,mce_str,n
STU-Net,0.872157,0.089636,0.139093,0.370396,0.872,0.090,0.139,0.370,917
Gemini 3 Flash (Z1),0.702352,0.09681,0.125605,0.566667,0.702,0.097,0.126,0.567,917
ResNet-18,0.856415,0.119345,0.207239,0.367266,0.856,0.119,0.207,0.367,917
DenseNet-121,0.832654,0.139148,0.237387,0.458575,0.833,0.139,0.237,0.459,917
Swin-UNETR,0.799914,0.141836,0.252179,0.378671,0.800,0.142,0.252,0.379,917
EfficientNet-B0,0.863238,0.155699,0.291427,0.399741,0.863,0.156,0.291,0.400,917
ResNet-50,0.816676,0.202683,0.340503,0.798784,0.817,0.203,0.341,0.799,917
ViT-Base,0.693278,0.216162,0.371488,0.377018,0.693,0.216,0.371,0.377,917
Gemini 3 Flash (F3),0.739419,0.222369,0.270316,0.699863,0.739,0.222,0.270,0.700,917
Gemini 3 Flash (F2),0.699465,0.292521,0.348899,0.803333,0.699,0.293,0.349,0.803,917
MedGemma 1.5-4B,0.593966,0.586469,0.60747,0.840578,0.594,0.586,0.607,0.841,917
