field,display,source,kind,available_n,available_pct
Age_at_StudyDate,Age,Released LUNA25 demographic field,Near-objective,917,100.0
Gender,Sex,Released LUNA25 demographic field,Near-objective,917,100.0
race,Race,Matched NLST participant field,Self-reported category used verbatim,917,100.0
cigsmok,Smoking status,Matched NLST screening-history field,Self-reported/history-derived,917,100.0
sct_ab_desc,Nodule type,Matched NLST CT-abnormality table,Reader-derived structured nodule descriptor,882,96.2
sct_long_dia,Long-axis diameter,Matched NLST CT-abnormality table,Reader-derived structured CT measurement,701,76.4
sct_perp_dia,Perpendicular diameter,Matched NLST CT-abnormality table,Reader-derived structured CT measurement,701,76.4
sct_epi_loc,Lobar location,Matched NLST CT-abnormality table,Reader-derived structured CT descriptor,706,77.0
sct_margins,Margin category,Matched NLST CT-abnormality table,Reader-derived structured CT descriptor,706,77.0
sct_pre_att,Attenuation/density category,Matched NLST CT-abnormality table,Reader-derived structured CT descriptor,706,77.0
label,Binary malignancy label,LUNA25 benchmark curation,Curated mixed reference standard,917,100.0
