subgroup_type,subgroup,model,n,n_pos,auc,ci_lo,ci_hi,auc_str,ci_str
Size,<6 mm,Gemini 3 Flash (F3),366,10,0.567837,0.395579,0.738645,0.568,0.396--0.739
Size,>8 mm,Gemini 3 Flash (F3),205,42,0.679156,0.58771,0.761905,0.679,0.588--0.762
Size,6–8 mm,Gemini 3 Flash (F3),130,3,0.486877,0.232283,0.70876,0.487,0.232--0.709
Size,>8 mm,STU-Net,205,42,0.785276,0.702439,0.862551,0.785,0.702--0.863
Size,<6 mm,STU-Net,366,10,0.924438,0.813982,0.988483,0.924,0.814--0.988
Size,6–8 mm,STU-Net,130,3,0.716535,0.377756,0.96063,0.717,0.378--0.961
Size,>8 mm,EfficientNet-B0,205,42,0.76395,0.682972,0.83918,0.764,0.683--0.839
Size,<6 mm,EfficientNet-B0,366,10,0.96264,0.918258,0.991861,0.963,0.918--0.992
Size,6–8 mm,EfficientNet-B0,130,3,0.737533,0.472441,0.944882,0.738,0.472--0.945
Size,>8 mm,ResNet-18,205,42,0.725095,0.63903,0.80619,0.725,0.639--0.806
Size,<6 mm,ResNet-18,366,10,0.881461,0.773848,0.957619,0.881,0.774--0.958
Size,6–8 mm,ResNet-18,130,3,0.968504,0.929068,0.997375,0.969,0.929--0.997
Size,>8 mm,DenseNet-121,205,42,0.747882,0.663862,0.830726,0.748,0.664--0.831
Size,<6 mm,DenseNet-121,366,10,0.90618,0.817662,0.976124,0.906,0.818--0.976
Size,6–8 mm,DenseNet-121,130,3,0.813648,0.669291,0.96063,0.814,0.669--0.961
Size,>8 mm,ResNet-50,205,42,0.68624,0.602089,0.763811,0.686,0.602--0.764
Size,<6 mm,ResNet-50,366,10,0.891011,0.824438,0.939333,0.891,0.824--0.939
Size,6–8 mm,ResNet-50,130,3,0.860892,0.779528,0.929134,0.861,0.780--0.929
Size,>8 mm,Swin-UNETR,205,42,0.749051,0.663884,0.830138,0.749,0.664--0.830
Size,<6 mm,Swin-UNETR,366,10,0.888202,0.817388,0.948603,0.888,0.817--0.949
Size,6–8 mm,Swin-UNETR,130,3,0.603675,0.472375,0.734908,0.604,0.472--0.735
Size,>8 mm,ViT-Base,205,42,0.572159,0.48329,0.657764,0.572,0.483--0.658
Size,<6 mm,ViT-Base,366,10,0.776124,0.627711,0.895239,0.776,0.628--0.895
Size,6–8 mm,ViT-Base,130,3,0.87664,0.795276,0.952756,0.877,0.795--0.953
Density,Solid,Gemini 3 Flash (F3),560,45,0.758037,0.681744,0.83657,0.758,0.682--0.837
Density,Part-solid,Gemini 3 Flash (F3),60,3,0.614035,0.096272,0.982456,0.614,0.096--0.982
Density,GGN,Gemini 3 Flash (F3),57,6,0.911765,0.803881,0.990196,0.912,0.804--0.990
Density,Solid,STU-Net,560,45,0.879827,0.833439,0.927498,0.880,0.833--0.927
Density,Part-solid,STU-Net,60,3,0.730994,0.48538,1.0,0.731,0.485--1.000
Density,GGN,STU-Net,57,6,0.990196,0.960784,1.0,0.990,0.961--1.000
Density,Solid,EfficientNet-B0,560,45,0.87206,0.825141,0.913845,0.872,0.825--0.914
Density,Part-solid,EfficientNet-B0,60,3,0.883041,0.719298,1.0,0.883,0.719--1.000
Density,GGN,EfficientNet-B0,57,6,0.960784,0.901961,0.996732,0.961,0.902--0.997
Density,Solid,ResNet-18,560,45,0.873571,0.824923,0.915773,0.874,0.825--0.916
Density,Part-solid,ResNet-18,60,3,0.725146,0.491228,1.0,0.725,0.491--1.000
Density,GGN,ResNet-18,57,6,0.843137,0.728595,0.934641,0.843,0.729--0.935
Density,Solid,DenseNet-121,560,45,0.852211,0.80788,0.893294,0.852,0.808--0.893
Density,Part-solid,DenseNet-121,60,3,0.760234,0.280702,1.0,0.760,0.281--1.000
Density,GGN,DenseNet-121,57,6,0.924837,0.833333,0.986928,0.925,0.833--0.987
Density,Solid,ResNet-50,560,45,0.809838,0.765191,0.85541,0.810,0.765--0.855
Density,Part-solid,ResNet-50,60,3,0.660819,0.426901,0.912281,0.661,0.427--0.912
Density,GGN,ResNet-50,57,6,0.892157,0.797304,0.973856,0.892,0.797--0.974
Density,Solid,Swin-UNETR,560,45,0.831888,0.777068,0.885922,0.832,0.777--0.886
Density,Part-solid,Swin-UNETR,60,3,0.701754,0.314912,0.976608,0.702,0.315--0.977
Density,GGN,Swin-UNETR,57,6,0.74183,0.460703,0.95098,0.742,0.461--0.951
Density,Solid,ViT-Base,560,45,0.682762,0.603976,0.746668,0.683,0.604--0.747
Density,Part-solid,ViT-Base,60,3,0.690058,0.491228,0.871491,0.690,0.491--0.871
Density,GGN,ViT-Base,57,6,0.656863,0.437908,0.836683,0.657,0.438--0.837
