config,split,n,pos,auc,auprc,sens_0p5,spec_0p5,file
MLP_full_fullft,luna25,917,81,0.8651352708370252,0.3374278672429219,0.691358024691358,0.868421052631579,config_resnet_ttt_MLP_full_fullft_luna25_preds.csv
LIN_full_fullft,luna25,917,81,0.8635772934018549,0.3960835498231869,0.7407407407407407,0.8133971291866029,config_resnet_ttt_LIN_full_fullft_luna25_preds.csv
MLP_full_headonly,luna25,917,81,0.839469253942938,0.3658765170823273,0.7407407407407407,0.7356459330143541,config_resnet_ttt_MLP_full_headonly_luna25_preds.csv
LIN_full_headonly,luna25,917,81,0.8387973300254001,0.3847223498993558,0.7654320987654321,0.7440191387559809,config_resnet_ttt_LIN_full_headonly_luna25_preds.csv
LIN_20shot_headonly,luna25,917,81,0.5917729930887825,0.11725028410793037,1.0,0.0,config_resnet_ttt_LIN_20shot_headonly_luna25_preds.csv
MLP_20shot_fullft,luna25,917,81,0.5872393525902297,0.11741156089525698,0.9629629629629629,0.12320574162679426,config_resnet_ttt_MLP_20shot_fullft_luna25_preds.csv
MLP_20shot_headonly,luna25,917,81,0.5606577470612558,0.10348398337196288,1.0,0.0,config_resnet_ttt_MLP_20shot_headonly_luna25_preds.csv
LIN_20shot_fullft,luna25,917,81,0.5576599326599326,0.10949569908935505,0.9876543209876543,0.03588516746411483,config_resnet_ttt_LIN_20shot_fullft_luna25_preds.csv
MLP_full_fullft,test,917,81,0.8651352708370252,0.3374278672429219,0.691358024691358,0.868421052631579,config_resnet_ttt_MLP_full_fullft_test_preds.csv
LIN_full_fullft,test,917,81,0.8635772934018549,0.3960835498231869,0.7407407407407407,0.8133971291866029,config_resnet_ttt_LIN_full_fullft_test_preds.csv
MLP_full_headonly,test,917,81,0.839469253942938,0.3658765170823273,0.7407407407407407,0.7356459330143541,config_resnet_ttt_MLP_full_headonly_test_preds.csv
LIN_full_headonly,test,917,81,0.8387973300254001,0.3847223498993558,0.7654320987654321,0.7440191387559809,config_resnet_ttt_LIN_full_headonly_test_preds.csv
LIN_20shot_headonly,test,917,81,0.5917729930887825,0.11725028410793037,1.0,0.0,config_resnet_ttt_LIN_20shot_headonly_test_preds.csv
MLP_20shot_fullft,test,917,81,0.5872393525902297,0.11741156089525698,0.9629629629629629,0.12320574162679426,config_resnet_ttt_MLP_20shot_fullft_test_preds.csv
MLP_20shot_headonly,test,917,81,0.5606577470612558,0.10348398337196288,1.0,0.0,config_resnet_ttt_MLP_20shot_headonly_test_preds.csv
LIN_20shot_fullft,test,917,81,0.5576599326599326,0.10949569908935505,0.9876543209876543,0.03588516746411483,config_resnet_ttt_LIN_20shot_fullft_test_preds.csv
LIN_full_fullft,val,922,80,0.8590409738717341,0.4309863507647642,0.675,0.8562945368171021,config_resnet_ttt_LIN_full_fullft_val_preds.csv
MLP_full_fullft,val,922,80,0.8543052256532067,0.43565531667765806,0.6,0.8990498812351544,config_resnet_ttt_MLP_full_fullft_val_preds.csv
MLP_full_headonly,val,922,80,0.8241166864608076,0.3368341622079277,0.7125,0.7969121140142518,config_resnet_ttt_MLP_full_headonly_val_preds.csv
LIN_full_headonly,val,922,80,0.8171540973871734,0.3978699122082525,0.675,0.7577197149643705,config_resnet_ttt_LIN_full_headonly_val_preds.csv
LIN_20shot_headonly,val,922,80,0.6764029097387173,0.15547291551099884,1.0,0.0,config_resnet_ttt_LIN_20shot_headonly_val_preds.csv
MLP_20shot_fullft,val,922,80,0.662626187648456,0.16774863136297927,0.95,0.17695961995249407,config_resnet_ttt_MLP_20shot_fullft_val_preds.csv
LIN_20shot_fullft,val,922,80,0.655396377672209,0.19887430812546986,1.0,0.03681710213776722,config_resnet_ttt_LIN_20shot_fullft_val_preds.csv
MLP_20shot_headonly,val,922,80,0.6463628266033253,0.16477034804981158,1.0,0.0,config_resnet_ttt_MLP_20shot_headonly_val_preds.csv
