group,name,n,auc_exact,auc
ablation,Z1 zero-shot minimal,917,0.7023524720893142,0.702
ablation,Z2 zero-shot rich,917,0.6822685923563117,0.682
ablation,Z3 zero-shot rich+clinical,917,0.7295912339771988,0.730
ablation,F1 20-shot minimal,917,0.7117889420520999,0.712
ablation,F2 20-shot rich,917,0.6994654143776952,0.699
ablation,F3 20-shot rich+clinical,917,0.7394190442436056,0.739
ablation,F3A mean-of-5,917,0.7470243369366175,0.747
generation,Gemini 2.5 Flash,917,0.6818107980388682,0.682
generation,Gemini 2.5 Pro,917,0.710053753913403,0.710
generation,Gemini 3 Flash Preview,917,0.7394190442436056,0.739
generation,Gemini 3.1 Pro Preview,917,0.7357714572626853,0.736
generation,MedGemma 1.5-4B,917,0.5939659755449229,0.594
generation,Gemma 4 31B,917,0.6774026817886467,0.677
generation,Gemma 4 26B A4B,917,0.6053148443499321,0.605
dl_luna25,STU-Net,917,0.8721572449642625,0.872
dl_luna25,EfficientNet-B0,917,0.863237639553429,0.863
dl_luna25,ResNet-18,917,0.856415027467659,0.856
dl_luna25,DenseNet-121,917,0.8326540256364818,0.833
dl_luna25,ResNet-50,917,0.816675527201843,0.817
dl_luna25,Swin-UNETR,917,0.7999143481599622,0.800
dl_luna25,ViT-Base,917,0.693277807312895,0.693
brock,Brock (701),701,0.773670137911624,0.774
brock,Gemini F3 (primary run) on Brock-701,701,0.7503799605966789,0.750
lndb,EfficientNet-B0 (ext),814,0.8152757487216946,0.815
lndb,ResNet-18 (ext),814,0.8117969320672023,0.812
lndb,DenseNet-121 (ext),814,0.8071402483564646,0.807
lndb,STU-Net (ext),814,0.8031135865595325,0.803
lndb,ResNet-50 (ext),814,0.7617786705624543,0.762
lndb,ViT-Base (ext),814,0.6834094229364499,0.683
lndb,Swin-UNETR (ext),814,0.6659149013878743,0.666
lndb,Gemini 3 Flash Preview 20-shot rich (ext),814,0.654035792549306,0.654
lndb,Gemini 3 Flash Preview zero-shot rich (ext),814,0.641663623082542,0.642
