family,condition,spearman_diameter,n_diameter,spearman_brock,n_brock
Gemini-3-Flash (ref),image-only,0.19040414684840826,701,0.1814265729988085,701
Gemini-3-Flash (ref),image-text,0.5133031990844068,701,0.6370650641577124,701
anthropic_claude-opus-4-8@default,image-only,-0.0005240914688375752,701,-0.013447411689727174,701
anthropic_claude-opus-4-8@default,image-text,0.7513476961108357,701,0.8434877549670537,701
anthropic_claude-opus-4-8@default,text-only,0.7150908729597156,701,0.824397564886122,701
google_gemini-3-flash-preview,image-only,-0.01596240893325781,701,-0.013965192246623327,701
google_gemini-3-flash-preview,image-text,0.6520430694028124,701,0.7677334906915644,701
google_gemini-3-flash-preview,text-only,0.68569131525103,701,0.7967391620254921,701
google_gemini-3.1-pro-preview,image-only,0.06053973639362958,701,0.06321752077302406,701
google_gemini-3.1-pro-preview,image-text,0.7332185139223549,701,0.7886203205786775,701
google_gemini-3.1-pro-preview,text-only,0.7416617754917996,701,0.8011980099693473,701
openai_gpt-5.5-2026-04-23,image-only,,701,,701
openai_gpt-5.5-2026-04-23,image-text,0.7020423209910549,701,0.823212628707796,701
openai_gpt-5.5-2026-04-23,text-only,0.7044787494690627,701,0.8219203443836806,701
