family,condition,n,auc,ci_lo,ci_hi
Gemini-3-Flash (ref),image-only,917,0.6822685923563117,0.614271922440782,0.7520728114478115
Gemini-3-Flash (ref),image-text,917,0.7295912339771988,0.6703725855041645,0.7932246441018371
anthropic_claude-opus-4-8@default,image-only,917,0.49669945064681903,0.4743926841514561,0.5239880530450707
anthropic_claude-opus-4-8@default,image-text,917,0.7296503042117078,0.6686687784275503,0.7907867047669679
anthropic_claude-opus-4-8@default,text-only,917,0.718833067517278,0.6575449302971231,0.7743703482190324
google_gemini-3-flash-preview,image-only,917,0.5080778545690826,0.44431135182231674,0.5620545735129068
google_gemini-3-flash-preview,image-text,917,0.7224215842636895,0.6552915854450941,0.778319931773879
google_gemini-3-flash-preview,text-only,917,0.7206199421111702,0.6565244919959833,0.779955808080808
google_gemini-3.1-pro-preview,image-only,917,0.5155059365585681,0.45450170565302145,0.5755596904719712
google_gemini-3.1-pro-preview,image-text,917,0.7289709965148562,0.6687158500206746,0.7855032414791187
google_gemini-3.1-pro-preview,text-only,917,0.7125937739972829,0.6551481555319275,0.767183346624136
openai_gpt-5.5-2026-04-23,image-only,917,0.5,0.5,0.5
openai_gpt-5.5-2026-04-23,image-text,917,0.7115231259968102,0.6462785752259436,0.7698799028294642
openai_gpt-5.5-2026-04-23,text-only,917,0.7029653257723432,0.6400381741390513,0.7629989588871168
