comparison,n_rows,n_unique_findings,auc_a,auc_b,delta_b_minus_a,delong_p
Gemini 3 Flash Preview 20-shot rich vs zero-shot rich,814,439,0.641663623082542,0.6540357925493061,0.012372169466764116,0.7325296613719376
Gemini 3 Flash Preview zero-shot rich vs EfficientNet-B0,814,439,0.641663623082542,0.8152757487216946,0.17361212563915263,2.7393412738163647e-06
Gemini 3 Flash Preview zero-shot rich vs ResNet-18,814,439,0.641663623082542,0.8117969320672024,0.1701333089846604,1.186681773868159e-05
Gemini 3 Flash Preview zero-shot rich vs DenseNet-121,814,439,0.641663623082542,0.8071402483564646,0.1654766252739226,2.1654516627611642e-05
Gemini 3 Flash Preview zero-shot rich vs ResNet-50,814,439,0.641663623082542,0.7617786705624543,0.1201150474799123,0.0028555676594690382
Gemini 3 Flash Preview zero-shot rich vs ViT-Base,814,439,0.641663623082542,0.68340942293645,0.04174579985390803,0.3379987992594966
Gemini 3 Flash Preview zero-shot rich vs STU-Net,814,439,0.641663623082542,0.8031135865595325,0.16144996347699048,8.05347376608978e-05
Gemini 3 Flash Preview zero-shot rich vs Swin-UNETR,814,439,0.641663623082542,0.6659149013878743,0.024251278305332358,0.5481844326090068
Gemini 3 Flash Preview 20-shot rich vs EfficientNet-B0,814,439,0.6540357925493061,0.8152757487216946,0.1612399561723885,6.895679462548543e-06
Gemini 3 Flash Preview 20-shot rich vs ResNet-18,814,439,0.6540357925493061,0.8117969320672024,0.15776113951789628,6.457312627272671e-06
Gemini 3 Flash Preview 20-shot rich vs DenseNet-121,814,439,0.6540357925493061,0.8071402483564646,0.15310445580715848,1.1132592007578879e-05
Gemini 3 Flash Preview 20-shot rich vs ResNet-50,814,439,0.6540357925493061,0.7617786705624543,0.10774287801314819,0.00399485513350939
Gemini 3 Flash Preview 20-shot rich vs ViT-Base,814,439,0.6540357925493061,0.68340942293645,0.029373630387143912,0.4723070003734773
Gemini 3 Flash Preview 20-shot rich vs STU-Net,814,439,0.6540357925493061,0.8031135865595325,0.14907779401022636,9.759534850806162e-05
Gemini 3 Flash Preview 20-shot rich vs Swin-UNETR,814,439,0.6540357925493061,0.6659149013878743,0.011879108838568242,0.7479951596839609
