file,family,model,mode,prompt,sample_fps,frame_anchor,n_total,n_valid,n_invalid,n_duplicates,auc,ci_lo,ci_hi,sens_at_0p5,spec_at_0p5,opt_thresh,sens_at_opt,spec_at_opt
luna25_sensitivity/f3_gemini3flash_initial_t0_excluded.jsonl,vlm_sync,gemini-3-flash-preview,20shot_clinical,rich,,,917,917,0,0,0.7697,0.7113,0.8251,0.716,0.683,0.85,0.6667,0.8014
luna25_replicates/f3_gemini3flash_20shot_rich_metadata_run02.jsonl,vlm_sync,gemini-3-flash-preview,20shot_clinical,rich,,,917,917,0,0,0.7436,0.6845,0.8009,0.716,0.683,0.75,0.6914,0.7141
luna25_replicates/f3_gemini3flash_20shot_rich_metadata_run01.jsonl,vlm_sync,gemini-3-flash-preview,20shot_clinical,rich,,,917,917,0,0,0.7428,0.681,0.7977,0.716,0.6782,0.65,0.716,0.6782
luna25_sensitivity/f3_gemini3flash_temperature1.jsonl,vlm_sync,gemini-3-flash-preview,20shot_clinical,rich,,,917,917,0,0,0.74,0.6806,0.7969,0.7037,0.6722,0.78,0.6543,0.7416
luna25_ablation/f3_gemini3flash_20shot_rich_metadata_run00.jsonl,vlm_sync,gemini-3-flash-preview,20shot_clinical,rich,,,917,917,0,0,0.7394,0.6847,0.7942,0.7284,0.6914,0.7,0.7284,0.701
luna25_sensitivity/f3_gemini3flash_temperature2.jsonl,vlm_sync,gemini-3-flash-preview,20shot_clinical,rich,,,917,917,0,0,0.7381,0.678,0.7973,0.7037,0.6675,0.8,0.6667,0.75
luna25_sensitivity/f3_gemini3flash_64frame_dense.jsonl,vlm_sync,gemini-3-flash-preview,20shot_clinical,rich,,,917,917,0,0,0.7374,0.6819,0.7944,0.642,0.7727,0.75,0.642,0.7871
luna25_replicates/f3_gemini3flash_20shot_rich_metadata_run04.jsonl,vlm_sync,gemini-3-flash-preview,20shot_clinical,rich,,,917,917,0,0,0.7364,0.673,0.7945,0.7037,0.689,0.2,0.7531,0.6495
luna25_model_comparison/f3_gemini31pro.jsonl,vlm_sync,gemini-3.1-pro-preview,20shot_clinical,rich,,,917,917,0,0,0.7358,0.6725,0.7957,0.5802,0.8337,0.85,0.5679,0.8553
luna25_replicates/f3_gemini3flash_20shot_rich_metadata_run03.jsonl,vlm_sync,gemini-3-flash-preview,20shot_clinical,rich,,,917,917,0,0,0.7352,0.6707,0.7937,0.6914,0.6902,0.82,0.6173,0.7943
luna25_ablation/z3_gemini3flash_zeroshot_rich_metadata.jsonl,vlm_sync,gemini-3-flash-preview,zeroshot_clinical,rich,,,917,917,0,0,0.7296,0.6706,0.7833,0.6296,0.6818,0.75,0.6049,0.7847
luna25_ablation/f1_gemini3flash_20shot_minimal.jsonl,vlm_sync,gemini-3-flash-preview,20shot,minimal,,,917,917,0,0,0.7118,0.6613,0.7665,0.7531,0.6938,0.8,0.7407,0.7093
luna25_model_comparison/f3_gemini25pro.jsonl,vlm_sync,gemini-2.5-pro,20shot_clinical,rich,,,917,917,0,0,0.7101,0.648,0.7678,0.8025,0.4868,0.7,0.7901,0.5287
luna25_ablation/z1_gemini3flash_zeroshot_minimal.jsonl,vlm_sync,gemini-3-flash-preview,zeroshot,minimal,,,917,917,0,0,0.7024,0.6388,0.7618,0.321,0.9402,0.25,0.4198,0.9091
luna25_ablation/f2_gemini3flash_20shot_rich.jsonl,vlm_sync,gemini-3-flash-preview,20shot,rich,,,917,917,0,0,0.6995,0.6394,0.7543,0.7778,0.5969,0.75,0.7778,0.6017
luna25_ablation/z2_gemini3flash_zeroshot_rich.jsonl,vlm_sync,gemini-3-flash-preview,zeroshot,rich,,,917,917,0,0,0.6823,0.6143,0.7521,0.3704,0.9246,0.18,0.4938,0.8911
luna25_model_comparison/f3_gemini25flash.jsonl,vlm_sync,gemini-2.5-flash,20shot_clinical,rich,,,917,917,0,0,0.6818,0.617,0.7455,0.7778,0.4785,0.75,0.7531,0.5514
luna25_model_comparison/f3_gemma4_31b.jsonl,vlm_sync,gemma-4-31b-it,20shot_clinical,rich,,,917,917,0,0,0.6774,0.623,0.7331,0.6296,0.5873,0.3,0.7531,0.5431
luna25_model_comparison/f3_gemma4_26b_a4b.jsonl,vlm_sync,gemma-4-26b-a4b-it,20shot_clinical,rich,,,917,917,0,0,0.6053,0.5487,0.6652,0.8889,0.2691,0.8,0.8272,0.3696
luna25_model_comparison/f3_medgemma15_4b.jsonl,medgemma,google/medgemma-1.5-4b-it,20shot_clinical,rich,1.0,gemini,917,917,0,0,0.594,0.5535,0.631,0.8889,0.299,0.95,0.8889,0.299
