model,threshold,net_benefit,sens,spec,ppv,npv,tp,fp,fn,tn
Gemini 3 Flash Preview (F3A mean-of-5),0.05,0.0403,1.0,0.0,0.0883,,81,836,0,0
Gemini 3 Flash Preview (F3A mean-of-5),0.1,0.0065,0.9259,0.2572,0.1078,0.9729,75,621,6,215
Gemini 3 Flash Preview (F3A mean-of-5),0.15,-0.0056,0.7531,0.5514,0.1399,0.9584,61,375,20,461
Gemini 3 Flash Preview (F3A mean-of-5),0.2,-0.0224,0.7407,0.6148,0.1571,0.9607,60,322,21,514
Gemini 3 Flash Preview (F3A mean-of-5),0.5,-0.2083,0.7284,0.701,0.1909,0.9638,59,250,22,586
Gemini 3 Flash Preview (F3 primary run),0.05,0.0403,1.0,0.0,0.0883,,81,836,0,0
Gemini 3 Flash Preview (F3 primary run),0.1,0.0033,0.9506,0.2033,0.1036,0.977,77,666,4,170
Gemini 3 Flash Preview (F3 primary run),0.15,-0.0189,0.8272,0.4282,0.1229,0.9624,67,478,14,358
Gemini 3 Flash Preview (F3 primary run),0.2,-0.0166,0.7531,0.6352,0.1667,0.9637,61,305,20,531
Gemini 3 Flash Preview (F3 primary run),0.5,-0.217,0.7284,0.6914,0.1861,0.9633,59,258,22,578
Gemini 2.5 Flash (F3),0.05,0.0406,1.0,0.0048,0.0887,1.0,81,832,0,4
Gemini 2.5 Flash (F3),0.1,-0.0071,0.9383,0.1112,0.0928,0.949,76,743,5,93
Gemini 2.5 Flash (F3),0.15,-0.0416,0.8642,0.2667,0.1025,0.953,70,613,11,223
Gemini 2.5 Flash (F3),0.2,-0.0649,0.8272,0.3947,0.1169,0.9593,67,506,14,330
Gemini 2.5 Flash (F3),0.5,-0.4068,0.7778,0.4785,0.1263,0.9569,63,436,18,400
Gemini 2.5 Pro (F3),0.05,0.0405,1.0,0.0036,0.0886,1.0,81,833,0,3
Gemini 2.5 Pro (F3),0.1,-0.0097,0.9753,0.0538,0.0908,0.9574,79,791,2,45
Gemini 2.5 Pro (F3),0.15,-0.0311,0.8765,0.3254,0.1118,0.9645,71,564,10,272
Gemini 2.5 Pro (F3),0.2,-0.0597,0.8025,0.427,0.1195,0.9571,65,479,16,357
Gemini 2.5 Pro (F3),0.5,-0.3969,0.8025,0.4868,0.1316,0.9622,65,429,16,407
Gemini 3.1 Pro Preview (F3),0.05,0.0403,1.0,0.0,0.0883,,81,836,0,0
Gemini 3.1 Pro Preview (F3),0.1,-0.001,0.9259,0.183,0.0989,0.9623,75,683,6,153
Gemini 3.1 Pro Preview (F3),0.15,-0.0063,0.7654,0.5407,0.139,0.9597,62,384,19,452
Gemini 3.1 Pro Preview (F3),0.2,0.006,0.5802,0.8014,0.2207,0.9517,47,166,34,670
Gemini 3.1 Pro Preview (F3),0.5,-0.1003,0.5802,0.8337,0.2527,0.9535,47,139,34,697
MedGemma 1.5-4B (F3),0.05,0.0403,1.0,0.0,0.0883,,81,836,0,0
MedGemma 1.5-4B (F3),0.1,0.0075,0.8889,0.299,0.1094,0.9653,72,586,9,250
MedGemma 1.5-4B (F3),0.15,-0.0343,0.8889,0.299,0.1094,0.9653,72,586,9,250
MedGemma 1.5-4B (F3),0.2,-0.0812,0.8889,0.299,0.1094,0.9653,72,586,9,250
MedGemma 1.5-4B (F3),0.5,-0.5605,0.8889,0.299,0.1094,0.9653,72,586,9,250
