model,n,n_pos,auc,pr_auc,pr_auc_ci_lo,pr_auc_ci_hi
Gemini 3 Flash Preview (F3A mean-of-5),917,81,0.7477,0.3106,0.2292,0.4032
Gemini 3 Flash Preview (F3 primary run),917,81,0.7394,0.2515,0.1896,0.3302
Gemini 2.5 Flash (F3),917,81,0.6818,0.2199,0.1587,0.297
Gemini 2.5 Pro (F3),917,81,0.7101,0.23,0.17,0.3024
Gemini 3.1 Pro Preview (F3),917,81,0.7358,0.2618,0.1946,0.3537
MedGemma 1.5-4B (F3),917,81,0.594,0.1071,0.0984,0.1161
STU-Net,917,81,0.8722,0.5195,0.4249,0.6193
EfficientNet-B0,917,81,0.8632,0.3676,0.2963,0.4713
ResNet-18,917,81,0.8564,0.3348,0.2689,0.428
DenseNet-121,917,81,0.8327,0.4517,0.3562,0.5523
ResNet-50,917,81,0.8167,0.2276,0.1899,0.2908
Swin-UNETR,917,81,0.7999,0.4059,0.3106,0.5121
ViT-Base,917,81,0.6933,0.1581,0.1299,0.2214
